# Reference: (J,PR/C,53,2486,199605)
E,sigma,d_sigma
2.2409600000000003,155.0,19.099999999999998
2.2509699999999997,156.0,18.9
2.26098,155.0,19.099999999999998
2.27099,151.0,18.700000000000003
2.281,151.0,18.700000000000003
2.2910100000000004,152.0,18.700000000000003
2.30102,149.0,18.3
2.31103,147.0,18.4
2.32104,147.0,18.4
2.3310500000000003,147.0,18.3
2.34106,144.0,17.7
2.35107,143.0,17.5
2.36108,145.0,18.0
2.37109,144.0,17.8
2.3810900000000004,143.0,17.6
2.3911,142.0,17.5
2.40111,141.0,17.4
2.41112,141.0,17.4
2.4211300000000002,141.0,17.0
2.43114,143.0,16.7
2.44115,142.0,17.0
2.45116,142.0,17.7
2.46117,143.0,17.2
2.47118,143.0,17.4
2.4811900000000002,145.0,17.8
2.4912,144.0,17.8
2.5012,145.0,18.0
2.51121,146.0,17.9
2.52122,147.0,18.0
2.53123,149.0,18.4
2.5612600000000003,150.0,18.5
2.5812800000000005,148.0,18.1
2.5912800000000002,146.0,17.6
2.60129,144.0,17.7
2.6113000000000004,142.0,17.4
2.62131,142.0,17.5
2.63132,137.0,16.5
2.64133,135.0,16.7
2.6513400000000003,132.0,16.400000000000002
2.66134,132.0,16.299999999999997
2.67135,127.0,15.8
2.68136,124.0,15.299999999999999
2.69137,122.0,15.0
2.7013800000000003,120.0,14.7
2.7113899999999997,116.0,14.4
2.7113899999999997,119.0,14.5
2.72139,115.0,14.3
2.7314000000000003,113.0,14.0
2.74141,111.0,13.700000000000001
2.75142,108.0,13.299999999999999
2.76143,107.0,13.0
2.77143,105.0,12.8
2.78144,103.0,12.6
2.7914499999999998,102.0,12.6
2.80146,101.0,12.4
2.81147,99.4,12.3
2.8214699999999997,99.1,12.4
2.83148,97.69999999999999,11.9
2.84149,94.8,11.6
2.8515,95.5,11.799999999999999
2.8615100000000004,94.3,11.6
2.8715100000000002,93.7,11.4
2.88152,91.6,11.4
2.8915300000000004,91.5,11.5
2.8915300000000004,89.6,11.1
2.9015400000000002,89.30000000000001,11.2
2.91154,88.5,11.1
2.9215500000000003,87.1,11.0
2.93156,86.3,10.8
2.94157,86.3,10.9
2.9515700000000002,84.4,10.8
2.96158,84.5,10.9
2.9715900000000004,84.6,10.9
2.9816,82.3,10.6
2.9916,83.8,10.8
3.0016100000000003,82.69999999999999,10.6
3.0116199999999997,82.69999999999999,10.7
3.02163,82.5,10.7
3.0316300000000003,81.60000000000001,10.7
3.04164,81.19999999999999,10.6
3.05165,81.19999999999999,10.7
3.06165,80.5,10.7
3.07166,81.10000000000001,10.7
3.0816700000000004,80.19999999999999,10.7
3.0916799999999998,81.10000000000001,10.8
3.10168,80.3,10.9
3.1116900000000003,80.0,11.1
3.1216999999999997,79.60000000000001,11.0
3.1317,79.69999999999999,11.1
3.1417100000000002,80.19999999999999,11.0
3.15172,80.10000000000001,11.0
3.16172,81.0,11.2
3.17173,82.5,11.5
3.18174,81.60000000000001,11.5
3.19175,80.69999999999999,11.6
3.20175,81.4,11.799999999999999
3.2117600000000004,81.10000000000001,11.799999999999999
3.2217700000000002,83.6,11.6
3.23177,82.3,12.0
3.2417800000000003,82.3,12.1
3.25179,83.1,12.1
3.26179,84.6,12.1
3.2718000000000003,84.5,12.4
3.28181,84.8,12.5
3.29181,85.2,12.5
3.30182,85.0,12.7
3.3118200000000004,86.0,12.8
3.3118200000000004,84.0,12.4
3.32183,85.0,12.6
3.33184,85.7,12.9
3.3418400000000004,87.3,12.9
3.3518499999999998,89.2,13.2
3.36186,90.2,13.299999999999999
3.3718600000000003,90.2,13.899999999999999
3.38187,92.0,14.1
3.39188,93.39999999999999,14.200000000000001
3.4018800000000002,94.10000000000001,14.4
3.41189,95.8,14.6
3.4219,94.0,14.6
3.4319,94.5,14.6
3.44191,93.3,14.8
3.45191,95.0,14.6
3.46192,94.8,15.0
3.47193,96.3,14.9
3.4819299999999997,99.8,15.8
3.49194,98.5,15.5
3.5019400000000003,98.7,15.8
3.5119499999999997,102.0,15.4
3.52196,101.0,16.299999999999997
3.53196,103.0,16.400000000000002
3.54197,104.0,16.6
3.55197,106.0,16.7
