# Reference: (C,94CRETE,,38,1994)
E_kev,sigma_microB,d_sigma_microB
1890.0,692.0,60.0
1893.0,717.0,66.3
1897.0,728.0,73.4
1901.0,823.0,78.3
1905.0,779.0,74.4
1909.0,848.0,81.4
1913.0,724.0,69.5
1916.0,888.0,92.3
1920.0,871.0,80.4
1924.0,916.0,78.9
1928.0,954.0,81.4
1933.0,1100.0,95.2
1936.0,1530.0,130.0
1940.0,1950.0,167.0
1942.0,2270.0,197.0
1942.0,2400.0,208.0
1943.0,2180.0,189.0
1945.0,2660.0,228.0
1946.0,2940.0,252.0
1947.0,3140.0,267.0
1948.0,3700.0,321.0
1950.0,4570.0,393.0
1952.0,6010.0,518.0
1954.0,8020.0,688.0
1956.0,9050.0,773.0
1958.0,9900.0,851.0
1961.0,9790.0,837.0
1962.0,8810.0,768.0
1965.0,7760.0,669.0
1967.0,7090.0,612.0
1969.0,7000.0,603.0
1971.0,6110.0,526.0
1973.0,6080.0,521.0
1975.0,5160.0,445.0
1977.0,5060.0,431.0
1979.0,4340.0,374.0
1981.0,4070.0,347.0
1983.0,4140.0,357.0
