input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_7Li_4He_4He_385.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,385.0,17.34545262438446,41544160505.72826,he4
p_7Li_4He_4He_390.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,390.0,17.34545262438446,40485869030.050064,he4
p_7Li_4He_4He_395.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,395.0,17.34545262438446,39467287406.32143,he4
p_7Li_4He_4He_40.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,40.0,17.34545262438446,3848745833625.2153,he4
p_7Li_4He_4He_400.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,400.0,17.34545262438446,38486980338.61083,he4
p_7Li_4He_4He_45.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,45.0,17.34545262438446,3040961326725.2437,he4
p_7Li_4He_4He_5.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,5.0,17.34545262438446,246320690281044.9,he4
p_7Li_4He_4He_50.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,50.0,17.34545262438446,2463206902121.2974,he4
p_7Li_4He_4He_55.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,55.0,17.34545262438446,2035680110297.9841,he4
p_7Li_4He_4He_60.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,60.0,17.34545262438446,1710537756049.348,he4
p_7Li_4He_4He_65.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,65.0,17.34545262438446,1457495096928.3704,he4
p_7Li_4He_4He_70.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,70.0,17.34545262438446,1256745050103.8308,he4
p_7Li_4He_4He_75.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,75.0,17.34545262438446,1094747991351.2726,he4
p_7Li_4He_4He_80.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,80.0,17.34545262438446,962174497613.5929,he4
p_7Li_4He_4He_85.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,85.0,17.34545262438446,852326521570.3408,he4
p_7Li_4He_4He_90.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,90.0,17.34545262438446,760228370918.398,he4
p_7Li_4He_4He_95.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,95.0,17.34545262438446,682339649233.7319,he4
