input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_3He_ppn_p_45.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,45.0,-7.717989348629868,337882997517.41394,n;p
p_3He_ppn_p_5.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,5.0,-7.717989348629868,27368699789456.484,n;p
p_3He_ppn_p_50.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,50.0,-7.717989348629868,273686998277.61703,n;p
p_3He_ppn_p_55.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,55.0,-7.717989348629868,226188274143.40265,n;p
p_3He_ppn_p_60.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,60.0,-7.717989348629868,190061877496.18304,n;p
p_3He_ppn_p_65.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,65.0,-7.717989348629868,161944431717.86414,n;p
p_3He_ppn_p_70.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,70.0,-7.717989348629868,139635149830.99387,n;p
p_3He_ppn_p_75.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,75.0,-7.717989348629868,121636539827.24956,n;p
p_3He_ppn_p_80.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,80.0,-7.717989348629868,106910404370.84169,n;p
p_3He_ppn_p_85.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,85.0,-7.717989348629868,94700820978.47758,n;p
p_3He_ppn_p_90.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,90.0,-7.717989348629868,84471945864.175,n;p
p_3He_ppn_p_95.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,95.0,-7.717989348629868,75812327549.41565,n;p
