input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
7Li_p_4He_4He_395.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,395.0,17.34545262438446,805392563.4686657,he4
7Li_p_4He_4He_40.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,40.0,17.34545262438446,78544174381.54832,he4
7Li_p_4He_4He_400.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,400.0,17.34545262438446,785346275.9358865,he4
7Li_p_4He_4He_45.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,45.0,17.34545262438446,62062193649.00561,he4
7Li_p_4He_4He_5.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,5.0,17.34545262438446,5026884513909.571,he4
7Li_p_4He_4He_50.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,50.0,17.34545262438446,50268846016.54603,he4
7Li_p_4He_4He_55.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,55.0,17.34545262438446,41544160907.83214,he4
7Li_p_4He_4He_60.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,60.0,17.34545262438446,34908309687.51079,he4
7Li_p_4He_4He_65.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,65.0,17.34545262438446,29744593580.157635,he4
7Li_p_4He_4He_70.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,70.0,17.34545262438446,25646823858.733498,he4
7Li_p_4He_4He_75.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,75.0,17.34545262438446,22341337449.569168,he4
7Li_p_4He_4He_80.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,80.0,17.34545262438446,19635804711.16348,he4
7Li_p_4He_4He_85.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,85.0,17.34545262438446,17393872535.353935,he4
7Li_p_4He_4He_90.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,90.0,17.34545262438446,15514591783.969927,he4
7Li_p_4He_4He_95.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,95.0,17.34545262438446,13924762367.04012,he4
