input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2p_dn_385.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,385.0,-26.071044550925617,450749975.97522116,d;n;p
4He_p_2p_dn_390.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,390.0,-26.071044550925617,439262829.7668158,d;n;p
4He_p_2p_dn_395.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,395.0,-26.071044550925617,428211056.9030998,d;n;p
4He_p_2p_dn_40.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,40.0,-26.071044550925617,41760890481.207214,d;n;p
4He_p_2p_dn_400.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,400.0,-26.071044550925617,417570735.759918,d;n;p
4He_p_2p_dn_45.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,45.0,-26.071044550925617,32996495504.04227,d;n;p
4He_p_2p_dn_5.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,5.0,-26.071044550925617,2672712254153.871,d;n;p
4He_p_2p_dn_50.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,50.0,-26.071044550925617,26727123152.713642,d;n;p
4He_p_2p_dn_55.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,55.0,-26.071044550925617,22088246893.229992,d;n;p
4He_p_2p_dn_60.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,60.0,-26.071044550925617,18560289628.38658,d;n;p
4He_p_2p_dn_65.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,65.0,-26.071044550925617,15814568608.072664,d;n;p
4He_p_2p_dn_70.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,70.0,-26.071044550925617,13636267886.372364,d;n;p
4He_p_2p_dn_75.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,75.0,-26.071044550925617,11878508854.763765,d;n;p
4He_p_2p_dn_80.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,80.0,-26.071044550925617,10440342370.799965,d;n;p
4He_p_2p_dn_85.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,85.0,-26.071044550925617,9248089914.096245,d;n;p
4He_p_2p_dn_90.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,90.0,-26.071044550925617,8249123969.500779,d;n;p
4He_p_2p_dn_95.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,95.0,-26.071044550925617,7403734684.544547,d;n;p
