input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2p_3H_390.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,390.0,-19.813814502830216,439262829.7668158,p;t
4He_p_2p_3H_395.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,395.0,-19.813814502830216,428211056.9030998,p;t
4He_p_2p_3H_40.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,40.0,-19.813814502830216,41760890481.207214,p;t
4He_p_2p_3H_400.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,400.0,-19.813814502830216,417570735.759918,p;t
4He_p_2p_3H_45.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,45.0,-19.813814502830216,32996495504.04227,p;t
4He_p_2p_3H_5.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,5.0,-19.813814502830216,2672712254153.871,p;t
4He_p_2p_3H_50.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,50.0,-19.813814502830216,26727123152.713642,p;t
4He_p_2p_3H_55.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,55.0,-19.813814502830216,22088246893.229992,p;t
4He_p_2p_3H_60.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,60.0,-19.813814502830216,18560289628.38658,p;t
4He_p_2p_3H_65.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,65.0,-19.813814502830216,15814568608.072664,p;t
4He_p_2p_3H_70.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,70.0,-19.813814502830216,13636267886.372364,p;t
4He_p_2p_3H_75.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,75.0,-19.813814502830216,11878508854.763765,p;t
4He_p_2p_3H_80.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,80.0,-19.813814502830216,10440342370.799965,p;t
4He_p_2p_3H_85.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,85.0,-19.813814502830216,9248089914.096245,p;t
4He_p_2p_3H_90.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,90.0,-19.813814502830216,8249123969.500779,p;t
4He_p_2p_3H_95.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,95.0,-19.813814502830216,7403734684.544547,p;t
